"V1" "V62" "V63" "V64" "V65" "V66" "V67"
"1" "SYMBOL" "pi_value" "-lg(pi_value)" "mean(Norm)" "mean(Tumour)" "lg(cnr)" "-sign(T-N)*lg(pi_value)"
"2" "1" "0.978824018028533" "0.00929538262911422" "5060.09432305088" "5054.61501170491" "0.000470529569600498" "-0.00929538262911422"
"3" "2" "0.169989143693584" "0.769578813824802" "2846.03506645859" "2723.90959527676" "0.0190475572549721" "-0.769578813824802"
"4" "3" "0.334529420705254" "0.475565681519263" "7132.68850525197" "7794.07440759861" "-0.0385112893792571" "0.475565681519263"
"5" "4" "0.285410186088131" "0.544530531281197" "6074.02224604461" "5711.0104063416" "0.0267634266672687" "-0.544530531281197"
"6" "5" "0.145857019447598" "0.836072665383516" "3774.40340028946" "4417.82387240005" "-0.068360082855151" "0.836072665383516"
"7" "6" "0.759854360801679" "0.119269639773548" "1696.12389868273" "1739.77316311999" "-0.0110350538672115" "0.119269639773548"
"8" "7" "0.815329267720812" "0.0886669676091169" "9814.60656484441" "9681.91640485953" "0.00591156629745529" "-0.0886669676091169"
"9" "8" "0.605766225110765" "0.217694944698991" "1357.1429962992" "1327.42929224499" "0.00961421286230855" "-0.217694944698991"
"10" "9" "0.426631450172589" "0.36994713263493" "7569.24668065091" "7771.96903538348" "-0.0114784025789455" "0.36994713263493"
"11" "10" "0.663594620810481" "0.178097143084377" "6959.56098948845" "6713.40040799828" "0.0156392944652835" "-0.178097143084377"
"12" "11" "0.554862714359758" "0.255814457906803" "4735.60562150755" "4550.06626123716" "0.0173578062257689" "-0.255814457906803"
"13" "12" "0.793578645140351" "0.100410027374152" "6974.53868998617" "6858.26213879215" "0.00730140693992272" "-0.100410027374152"
"14" "13" "0.00662732587783874" "2.17866167382304" "2591.46763507044" "3236.8763133896" "-0.0965803152901108" "2.17866167382304"
"15" "14" "0.305659324004461" "0.514762351708246" "6750.77979300147" "7453.62105675216" "-0.0430133676253451" "0.514762351708246"
"16" "15" "0.84972404494324" "0.0707220921877765" "1550.89559297413" "1579.94004698951" "-0.0080580454747844" "0.0707220921877765"
"17" "16" "0.115425133857087" "0.937699613130638" "9749.02332063103" "9142.00348381434" "0.0279197268137516" "-0.937699613130638"
"18" "17" "0.0529625124173875" "1.27603142116792" "1109.71739375836" "1202.70908003628" "-0.0349481965163509" "1.27603142116792"
"19" "18" "0.894892506100682" "0.048229128718754" "8528.7568495889" "8594.52504194623" "-0.0033361482527201" "0.048229128718754"
"20" "19" "0.13516130904227" "0.869147610718675" "1632.42619704548" "1539.34763495561" "0.0254968468989324" "-0.869147610718675"
"21" "20" "0.300816945364025" "0.52169770308436" "7460.23934358811" "7999.21610386874" "-0.030294668710715" "0.52169770308436"
"22" "21" "0.431749264484119" "0.364768393611715" "2915.24636523136" "3019.75077892088" "-0.0152958394228342" "0.364768393611715"
"23" "22" "0.261737473822906" "0.582134093525963" "6685.06573374711" "6111.47861035968" "0.0389593858967268" "-0.582134093525963"
"24" "23" "0.0507327149195046" "1.29471189614878" "4107.39596883279" "5057.75299380906" "-0.0903910432888342" "1.29471189614878"
"25" "24" "0.968814543238955" "0.0137593504585006" "574.508601972065" "576.025122042393" "-0.00114488896051839" "0.0137593504585006"
"26" "25" "0.924234226909063" "0.0342179524127502" "55.2846694909328" "54.9720106573559" "0.00246309556808127" "-0.0342179524127502"
